recipe_id,recipe_name,cooking_method,cuisine,image,prep_time,serves
161,Loaded Baked Sweet Potato “Healthified” ,see later,['American'],https://www.skinnytaste.com/wp-content/uploads/2015/03/Stuffed-Sweet-Potato.jpg,10 minutes,4 servings
162,Cheeseburger Soup,see later,['American'],https://www.skinnytaste.com/wp-content/uploads/2018/10/Cheeseburger-Soup-1.jpg,10 minutes,6 servings
163,Shrimp Fajita Bowls,see later,['Mexican'],https://www.skinnytaste.com/wp-content/uploads/2018/11/Shrimp-Fajitas-Bowls-Finals-5.jpg,15 minutes,4 servings
164,Pumpkin Turkey Chili,see later,['American'],https://www.skinnytaste.com/wp-content/uploads/2018/10/Turkey-Pumpkin-Chili-1-2.jpg,10 minutes,6 servings
165,Not-Fried Pinto Beans,see later,['Mexican'],https://www.skinnytaste.com/wp-content/uploads/2018/10/Instant-Pot-Not-Fried-Pinto-Beans-Finals-9.jpg,5 minutes,6 servings
166,No Bean Turkey and Sweet Potato Chili,see later,['American'],https://www.skinnytaste.com/wp-content/uploads/2018/10/No-Bean-Turkey-Chili-1-9.jpg,5 minutes,5 servings
167,Cream of Broccoli Soup,"['In a medium sized stock pot, bring chicken broth, onions, carrots, garlic, and celery to a boil. Cover and simmer 5 minutes.', 'Add broccoli, milk and pepper and cook, covered, 10 more minutes.', 'Add sour cream and puree soup with an immersion blender.', 'Adjust black pepper to taste and heat through over medium heat, stir in the cheddar cheese and serve.']",['American'],https://www.skinnytaste.com/wp-content/uploads/2008/04/Cream-of-Broccoli-Soup-8.jpg,5 minutes,4 servings
168,Cilantro Lime Fish Tacos,see later,['Mexican'],https://www.skinnytaste.com/wp-content/uploads/2012/02/fish-taco-4.jpg,5 minutes,4 servings
169,Kale and Potato Soup with Turkey Sausage,see later,['American'],https://www.skinnytaste.com/wp-content/uploads/2012/10/Kale-and-Potato-Soup-with-Turkey-Sausage-8.jpg,10 minutes,6 servings
170,Banana Foster Crepes,see later,['American'],https://www.skinnytaste.com/wp-content/uploads/2019/02/BANANAS-FOSTER-DESSERT-CREPES-8.jpg,5 minutes,6 servings
171,Instant Pot Chicken Taco Chili,see later,['American'],https://www.skinnytaste.com/wp-content/uploads/2019/02/Instant-Pot-Chicken-Taco-Chili-1-7.jpg,5 minutes,10 servings
172,Food Cart-Style Chicken Salad with White Sauce,see later,['American'],https://www.skinnytaste.com/wp-content/uploads/2019/01/Street-Cart-Style-Chicken-Salad-with-White-Sauce-8.jpg,15 minutes,4 servings
173,Honey Garlic Shrimp,see later,"['Chinese', 'Japanese']",https://www.skinnytaste.com/wp-content/uploads/2019/02/HONEY-GARLIC-SHRIMP-6.jpg,5 minutes,4 servings
174,Crustless Broccoli & Cheddar Quiche,see later,['American'],https://www.skinnytaste.com/wp-content/uploads/2019/02/CRUSTLESS-BROCCOLI-_-CHEDDAR-QUICHE-5.jpg,10 minutes,6 servings
175,Chicken Thighs with Shallots in Red Wine Vinegar (Poulet Au Vinaigre),see later,['American'],https://www.skinnytaste.com/wp-content/uploads/2010/12/Chicken-Thighs-with-Shallots-in-Red-Wine-Vinegar-5.jpg,5 minutes,4 servings
